sample_id,spcode,temp,rh,wind_speed
ST39,JUAS,86,22.5,5.8
ST40,JUAS,85.9,21.5,9.5
ST41,JUAS,84.6,21.5,6.4
ST42,JUAS,84.3,22.4,4.9
TD01,MATR3,86.9,37.2,4.3
TD02,MATR3,86.6,38.6,2.8
TD03,MATR3,78.6,52.2,2.1
TD04,MATR3,88.8,37.3,0.9
TD05,MATR3,86.4,38.6,2.9
TD06,DITE3,NA,NA,NA
TD07,DITE3,89.1,39.5,2
TD08,DITE3,78.9,49.6,1.8
TD09,DITE3,89.5,38.3,1.5
TD10,MATR3,74.5,56.2,3.8
TD11,MATR3,74.3,56.5,3.5
TD12,DITE3,86.7,38.8,1.4
TD13,DITE3,79.6,50.1,2
TD14,DITE3,78.7,51.7,1
TD15,RHVI3,85.3,40.7,1.6
TD16,RHVI3,74.3,62.4,1.3
TD17,RHVI3,86.5,39.8,1.6
TD18,RHVI3,85.6,40.8,1.6
TD19,RHVI3,84,42,2.1
TD20,RHVI3,74.2,56.8,2.3
TD21,RHVI3,86.8,39.3,1.9
FRT01,PRAN3,95.9,23.6,4.3
FRT02,PRAN3,96.1,23.7,5.9
FRT03,PRAN3,89.8,43.1,5.3
FRT04,PRAN3,97.4,26.3,7.3
FRT05,PRAN3,90.5,40.2,5.3
FRT06,PRAN3,99.5,25.2,5.5
FRT07,PRAN3,NA,NA,NA
FRT08,RHTR,96.4,23,4.4
FRT09,RHTR,97.2,23,2.6
FRT10,RHTR,99.7,26.3,4.8
FRT11,RHTR,89.6,36.7,5.1
FRT12,RHTR,88.8,42.1,5.3
FRT13,RHTR,102.2,23.8,2.4
FRT14,RHTR,89.4,42.4,5.3
FRT15,PRGL2,101.5,25.3,10.4
FRT16,PRGL2,96.9,23.4,5.7
FRT17,PRGL2,NA,NA,NA
FRT18,PRGL2,97.9,23.4,4.2
FRT19,PRGL2,101.3,26.1,9.9
FRT20,PRGL2,NA,NA,NA
FRT21,PRGL2,NA,NA,NA
FRT22,JUPI,94.8,25.7,2.7
FRT23,JUPI,93.9,26.8,6.1
FRT24,JUPI,88.9,37.6,5.1
FRT25,JUPI,89.6,36.4,5.1
FRT26,JUPI,97.1,23.7,5.7
FRT27,JUPI,99.3,25,5.7
FRT28,JUPI,91.5,40.1,5.1
FRT29,JUPI,95.6,24.1,3.5
FRT30,JUPI,95.5,24.4,3.9
FRT31,JUPI,89.6,39.1,5.3
FRT32,JUPI,88.3,39.5,5.1
FRT33,JUPI,98.5,23.6,3.3
FRT34,JUPI,97.1,23.7,5.7
FRT35,JUPI,88.4,39,5.3
FFT01,JUAS,79.2,61.6,5.4
FFT02,JUAS,87.1,46.5,6.4
FFT03,JUAS,79.7,60.9,5.4
FFT05,JUAS,87.6,46.5,6.7
FFT06,JUAS,80.2,59.2,4.8
FFT07,JUAS,91.8,40.7,9.8
FFT08,DITE3,93.1,40.8,9.8
FFT09,DITE3,81.9,56.6,2.7
FFT10,DITE3,86.9,44.5,6.7
FFT11,DITE3,86.7,46,6.7
FFT12,DITE3,93,41,9.8
FFT13,DITE3,86.9,45.1,6.7
FFT14,DITE3,92.8,40.7,9.8
FFT15,JUAS,80.1,60.1,5.4
FFT16,PRGL2,93.4,42.2,9.8
FFT17,PRGL2,NA,NA,NA
FFT18,PRGL2,92.4,41.7,9.8
FFT19,PRGL2,90,43.7,9.8
FFT20,PRGL2,85.8,44.6,6.7
FFT21,PRGL2,87.1,44.6,6.7
FFT211,PRGL2,87.4,44,6.7
FFT22,PRGL2,84.6,44.1,6.7
FFT23,JUPI,79.7,61.9,5.4
FFT24,JUPI,79.1,61.8,5.4
FFT25,JUPI,76.6,61.7,5.4
FFT26,JUPI,88.3,46.5,6.4
FFT27,JUPI,78.8,63.3,5.4
FFT28,JUPI,91.8,40.6,9.8
FFT29,JUPI,88.3,47.1,6.4
FFT30,RHTR,86.6,45.3,6.7
FFT31,RHTR,81.9,56.5,1.8
FFT32,RHTR,80.6,55.8,2.7
FFT33,RHTR,80.4,56.2,1.9
FFT34,RHTR,82.4,56.1,4.1
FFT35,RHTR,92.3,40.2,9.8
FFT36,RHTR,92.5,40.2,9.8
SXT01,DITE3,99.1,30.1,1.6
SXT02,DITE3,97.3,30.2,1.1
SXT04,DITE3,84.6,46.4,5
SXT05,DITE3,98.2,28.2,1.1
SXT07,DITE3,97.7,27.2,1.5
SXT08,DITE3,85,48,5
SXT09,MATR3,84,50,6.1
SXT10,MATR3,95.7,24.9,1.3
SXT11,MATR3,96.4,25.8,2.2
SXT12,MATR3,84.7,46.5,6.1
SXT13,MATR3,97.5,25.7,1.3
SXT14,MATR3,85.8,45,5
SXT15,MATR3,95.9,25.5,1.2
SXT16,SOSE3,94.3,25.7,1.4
SXT17,SOSE3,94.1,26,1.1
SXT18,SOSE3,82,47,6.8
SXT19,SOSE3,95.2,25.5,1.8
SXT20,SOSE3,94.3,26.4,1.5
SXT21,SOSE3,83.1,49.1,6.8
SXT22,SOSE3,83.9,49.3,6.8
SXT23,RHVI3,95.7,25.4,2.4
SXT24,RHVI3,84.1,46.8,6.1
SXT25,RHVI3,95.7,25.4,1
SXT26,RHVI3,84.6,48.4,6.1
SXT27,RHVI3,94.8,26.2,1.5
SXT28,RHVI3,95.4,24.4,1.6
SXT29,RHVI3,83.5,49.5,6.1
SXT30,JUAS,84.1,49,6.8
SXT31,JUAS,82.4,49,6.8
SXT32,JUAS,82.8,51.1,6.8
SVT01,PRAN3,91.2,30.2,1.7
SVT02,PRAN3,88.9,32.1,1.2
SVT03,PRAN3,92.5,29.1,4.7
SVT04,PRAN3,92,29.3,4.7
SVT05,PRAN3,91.8,29.5,4.7
SVT06,PRAN3,91.7,29.4,4.7
SVT07,PRAN3,92.4,28.4,4.7
SVT08,JUPI,91.5,30.9,1.2
SVT09,JUPI,91.9,29.8,4.7
SVT10,JUPI,90.8,29.8,4.7
SVT11,JUPI,92.3,30.1,0.9
SVT12,JUPI,91.6,30.6,1.1
SVT13,JUPI,85.3,36.2,3.8
SVT14,JUPI,91.8,30.2,1.4
SVT15,JUPI,92.3,29.9,4.7
SVT16,JUPI,90.5,30.9,1.7
SVT17,JUPI,90.7,30.2,1.1
SVT18,JUPI,91.6,29.7,1.2
SVT19,JUPI,92.5,30.3,1.1
SVT20,JUPI,92.7,30.5,1.1
SVT21,JUPI,90.8,28.9,4.7
SVT22,RHTR,92.5,29.2,4.7
SVT23,RHTR,92.4,29.3,4.7
SVT24,RHTR,92.3,28.1,4.7
SVT25,PRGL2,93.6,27.1,4.7
SVT26,PRGL2,94.4,26.2,4.7
SVT27,PRGL2,94.1,26.8,4.7
SVT28,PRGL2,93.7,26.2,4.7
EIT01,MATR3,86.8,35,6.8
EIT02,MATR3,84.8,38.2,9.6
EIT03,MATR3,85.8,37,8.4
EIT04,MATR3,89.8,36,8.4
EIT05,MATR3,85.4,37.4,9.6
EIT06,MATR3,86.9,36.1,8.4
EIT07,MATR3,86.1,36,8.4
EIT08,SOSE3,92.8,37.8,3.3
EIT09,SOSE3,85.6,38.8,9.6
EIT10,SOSE3,93.4,39.2,2.8
EIT11,SOSE3,92.5,46.4,4.3
EIT12,SOSE3,85.1,38.2,9.6
EIT13,SOSE3,93.1,38.3,2.4
EIT14,SOSE3,92.7,46,5.1
EIT15,RHVI3,91.9,40.6,3.8
EIT16,RHVI3,85.7,38.5,9.6
EIT17,RHVI3,91,38.6,2.8
EIT18,RHVI3,91.6,37.2,1.9
EIT19,RHVI3,92.5,37.9,2.7
EIT20,RHVI3,91.7,37.3,2.7
EIT21,RHVI3,91.1,37.7,3.9
