spcode,sample_id,trial_id,wp,removal_time,removal_date,measuring_time,measuring_date,notes
JUPI,JDK26,114,2.6,9:30,6/15/23,12:44,6/15/23,
JUPI,JDK27,115,5.2,18:45,6/14/23,12:46,6/16/23,
JUPI,JDK28,116,5.9,19:00,6/14/23,12:48,6/16/23,
JUPI,JDK29,119,5.4,5:45,6/15/23,14:12,6/16/23,
JUPI,JDK30,120,5.9,6:00,6/15/23,14:15,6/16/23,
JUPI,DK91,129,0.2,9:15,6/17/23,9:29,6/17/23,
PRGL2,DK92,125,2.6,9:15,6/16/23,14:41,6/16/23,
RHTR,DK93,128,2.5,6:30,6/16/23,14:46,6/16/23,
JUPI,DK94,142,2.7,15:00,6/16/23,16:01,6/17/23,
PRGL2,DK95,130,7.2,6:15,6/16/23,9:38,6/17/23,
JUPI,DK97,126,4.2,14:00,6/16/23,14:44,6/16/23,
PRGL2,DK98,124,3.2,5:00,6/16/23,14:39,6/16/23,
RHTR,DK99,143,1.7,19:30,6/16/23,16:03,6/17/23,
JUPI,DK100,131,4.6,3:30,6/16/23,9:40,6/17/23,
PRGL2,DK101,140,1.3,11:00,6/17/23,10:03,6/17/23,
RHTR,DK102,141,2,13:00,6/17/23,15:59,6/17/23,
JUPI,DK103,132,3,8:00,6/17/23,9:43,6/17/23,
PRGL2,DK104,127,3.8,7:15,6/16/23,14:45,6/16/23,
RHTR,DK105,144,2.3,6:00,6/17/23,16:05,6/17/23,
JUPI,DK106,133,5.4,14:15,6/15/23,9:46,6/17/23,
PRGL2,DK107,134,7.2,14:30,6/15/23,9:48,6/17/23,didn't observe any water bubble even at minus 7.2 
RHTR,DK108,135,4.8,14:45,6/15/23,9:50,6/17/23,
JUPI,JDK31,136,0.4,14:30,6/17/23,9:54,6/17/23,
JUPI,JDK32,137,0,14:45,6/17/23,9:55,6/17/23,
JUPI,JDK33,123,2.2,11:00,6/16/23,14:36,6/16/23,
JUPI,JDK34,122,2.3,11:15,6/16/23,14:24,6/16/23,
JUPI,JDK35,145,2.5,13:00,6/16/23,16:08,6/17/23,
JUPI,JDK36,146,1.3,10:00,6/17/23,16:10,6/17/23,
JUPI,JDK37,147,2.2,9:00,6/17/23,16:12,6/17/23,
JUPI,JDK38,148,2.5,9:15,6/17/23,16:14,6/17/23,
JUPI,JDK39,138,4.3,15:30,6/16/23,9:58,6/17/23,
JUPI,JDK40,139,4.2,15:45,6/16/23,10:00,6/17/23,
