date,sample_id,spcode,fresh_weight_saturated,fresh_weight,dry_weight,water_potential,
05/18/2024,ST31,JUAS,0.6751,0.5947,0.3195,2.66,
05/18/2024,ST31,JUAS,0.6751,0.5842,0.3195,2.75,
05/18/2024,ST31,JUAS,0.6751,0.5741,0.3195,2.93,
05/27/2024,TD14,DITE3,0.2044,0.2029,0.0873,0.04,
05/27/2024,TD14,DITE3,0.2044,0.1915,0.0873,0.35,
05/27/2024,TD14,DITE3,0.2044,0.1872,0.0873,0.48,
05/27/2024,TD14,DITE3,0.2044,0.1807,0.0873,1.08,
05/27/2024,TD14,DITE3,0.2044,0.1749,0.0873,1.97,
05/27/2024,TD14,DITE3,0.2044,0.1692,0.0873,2.67,
05/27/2024,TD14,DITE3,0.2044,0.1642,0.0873,3.48,
05/27/2024,TD14,DITE3,0.2044,0.1568,0.0873,3.9,
05/27/2024,TD14,DITE3,0.2044,0.1531,0.0873,4.11,
05/27/2024,TD14,DITE3,0.2044,0.1487,0.0873,4.35,
05/27/2024,TD12,DITE3,0.504,0.496,0.2142,0.04,
05/27/2024,TD12,DITE3,0.504,0.4482,0.2142,0.37,
05/27/2024,TD12,DITE3,0.504,0.4435,0.2142,0.71,
05/27/2024,TD12,DITE3,0.504,0.4374,0.2142,1.21,
05/27/2024,TD12,DITE3,0.504,0.43,0.2142,1.7,
05/27/2024,TD12,DITE3,0.504,0.4217,0.2142,2.6,
05/27/2024,TD12,DITE3,0.504,0.4158,0.2142,2.91,
05/27/2024,TD12,DITE3,0.504,0.4096,0.2142,3.16,
05/27/2024,TD12,DITE3,0.504,0.403,0.2142,3.35,
05/27/2024,TD12,DITE3,0.504,0.3957,0.2142,3.52,
07/01/2024,SXT08,DITE3,0.2904,0.2877,0.1313,0.15,
07/01/2024,SXT08,DITE3,0.2904,0.267,0.1313,0.9,
07/01/2024,SXT08,DITE3,0.2904,0.258,0.1313,1.52,
07/01/2024,SXT08,DITE3,0.2904,0.2553,0.1313,1.96,
07/01/2024,SXT08,DITE3,0.2904,0.252,0.1313,2.38,
07/01/2024,SXT08,DITE3,0.2904,0.2472,0.1313,2.88,
07/01/2024,SXT08,DITE3,0.2904,0.2416,0.1313,3.2,
07/01/2024,SXT08,DITE3,0.2904,0.2384,0.1313,3.4,
07/01/2024,SXT08,DITE3,0.2904,0.2333,0.1313,3.62,
07/01/2024,SXT08,DITE3,0.2904,0.2248,0.1313,4.08,
07/01/2024,SXT06,DITE3,0.3576,0.3528,0.1468,0.09,
07/01/2024,SXT06,DITE3,0.3576,0.3164,0.1468,0.24,
07/01/2024,SXT06,DITE3,0.3576,0.307,0.1468,0.35,
07/01/2024,SXT06,DITE3,0.3576,0.2961,0.1468,1.73,
07/01/2024,SXT06,DITE3,0.3576,0.2926,0.1468,2.21,
07/01/2024,SXT06,DITE3,0.3576,0.2889,0.1468,2.53,
07/01/2024,SXT06,DITE3,0.3576,0.2857,0.1468,2.64,
07/01/2024,SXT06,DITE3,0.3576,0.2822,0.1468,2.94,
07/01/2024,SXT06,DITE3,0.3576,0.2783,0.1468,3.26,
07/01/2024,SXT06,DITE3,0.3576,0.2754,0.1468,3.44,
07/01/2024,SXT05,DITE3,0.7842,0.7765,0.3402,0.09,
07/01/2024,SXT05,DITE3,0.7842,0.6961,0.3402,0.25,
07/01/2024,SXT05,DITE3,0.7842,0.6586,0.3402,0.95,
07/01/2024,SXT05,DITE3,0.7842,0.6419,0.3402,1.96,
07/01/2024,SXT05,DITE3,0.7842,0.6248,0.3402,2.28,
07/01/2024,SXT05,DITE3,0.7842,0.6104,0.3402,2.51,
07/01/2024,SXT05,DITE3,0.7842,0.6025,0.3402,2.62,
07/01/2024,SXT05,DITE3,0.7842,0.5974,0.3402,2.69,
07/01/2024,SXT05,DITE3,0.7842,0.5901,0.3402,2.84,
07/01/2024,SXT05,DITE3,0.7842,0.5767,0.3402,3.23,
06/30/2024,SXT22,SOSE3,0.7253,0.7207,0.2601,0.09,
06/30/2024,SXT22,SOSE3,0.7253,0.7021,0.2601,0.35,
06/30/2024,SXT22,SOSE3,0.7253,0.6924,0.2601,0.87,
06/30/2024,SXT22,SOSE3,0.7253,0.6825,0.2601,1.5,
06/30/2024,SXT22,SOSE3,0.7253,0.6744,0.2601,1.97,
06/30/2024,SXT22,SOSE3,0.7253,0.6631,0.2601,2.42,
06/30/2024,SXT22,SOSE3,0.7253,0.6578,0.2601,2.58,
06/30/2024,SXT22,SOSE3,0.7253,0.6471,0.2601,2.7,
06/30/2024,SXT22,SOSE3,0.7253,0.6351,0.2601,2.87,
06/30/2024,SXT22,SOSE3,0.7253,0.6292,0.2601,2.98,
06/30/2024,SXT21,SOSE3,0.5762,0.5757,0.2546,0.07,
06/30/2024,SXT21,SOSE3,0.5762,0.5688,0.2546,0.75,
06/30/2024,SXT21,SOSE3,0.5762,0.5619,0.2546,1.37,
06/30/2024,SXT21,SOSE3,0.5762,0.5536,0.2546,1.77,
06/30/2024,SXT21,SOSE3,0.5762,0.5488,0.2546,2.15,
06/30/2024,SXT21,SOSE3,0.5762,0.5454,0.2546,2.44,
06/30/2024,SXT21,SOSE3,0.5762,0.5388,0.2546,2.6,
06/30/2024,SXT21,SOSE3,0.5762,0.5301,0.2546,2.75,
06/30/2024,SXT21,SOSE3,0.5762,0.5238,0.2546,2.96,
06/30/2024,SXT21,SOSE3,0.5762,0.5214,0.2546,3.13,
06/30/2024,SXT18,SOSE3,0.8167,0.8129,0.3848,0.05,
06/30/2024,SXT18,SOSE3,0.8167,0.8066,0.3848,0.45,
06/30/2024,SXT18,SOSE3,0.8167,0.7986,0.3848,0.89,
06/30/2024,SXT18,SOSE3,0.8167,0.7884,0.3848,1.81,
06/30/2024,SXT18,SOSE3,0.8167,0.7806,0.3848,2.22,
